,CVE_DOC,FECHA_DOC,NOMBRE_VENDEDOR,NOMBRE_CLIENTE,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
305,F37610,2022-03-11,LETICIA RAMIREZ HERNANDEZ,"MAQUINAS, TECNICOS Y ALIMENTOS NUTRICIONALES",1,TUA00432,"TUB INOX 7/16""ØX60CM 9000W240V 2 1/2""NPT",4508.2,0.0,1783.73,4508.2,1783.73,2724.47,2724.47
327,F37658,2022-03-16,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,2,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,761.07,761.07,6106.5,1522.13,2292.18,4584.37
347,F37697,2022-03-23,DIEGO ARMANDO LEON DURAN,AIRBUS HELICOPTERS MEXICO QUERETARO,1,RP00165,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5211.65,5211.65,14000.0,5211.65,8788.35,8788.35
356,F37708,2022-03-23,LETICIA RAMIREZ HERNANDEZ,DISTRIBUIDORA Y CONVERTIDORA INDUSTRIAL,4,TUA00200,"TUB INOX. 5/16""Øx510mm CLIP 9KW 230V TAP",3096.5,1282.76,1282.76,12386.0,5131.02,1813.74,7254.98
358,F37711,2022-03-23,LETICIA RAMIREZ HERNANDEZ,CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,1,RP00182,REPARACION DE HORNO 3500W220V,7903.2,0.0,2448.37,7903.2,2448.37,5454.83,5454.83
359,F37713,2022-03-23,ALFREDO CANELA,OSANIA CLEANING & SANITIZING,3,TUA00099,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,0.0,1273.61,10047.0,3820.84,2075.39,6226.16
360,F37714,2022-03-23,ALFREDO CANELA,MEXAURIA SOLUTIONS,2,PA00001,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",6900.0,0.0,3489.32,13800.0,6978.64,3410.68,6821.36
368,F37728,2022-03-25,DIEGO ARMANDO LEON DURAN,ARCELORMITTAL MEXICO,6,BOE00012,BOE 45MMØX1360MM 3500W440V ROCHETA,3040.48,1137.06,1137.06,18242.88,6822.37,1903.42,11420.51
373,F37734,2022-03-28,DIEGO ARMANDO LEON DURAN,DIECASTING CELAYA,2,BO00005,BO ABIERTA ALAMBRE CAL. 6 40 KW 440 V,18500.0,0.0,1560.44,37000.0,3120.88,16939.56,33879.12
394,F37758,2022-03-29,ALFREDO CANELA,ALYEX ALUMINUM,18,TUE00319,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,0.0,714.2,74700.0,12855.68,3435.8,61844.32
411,F37803,2022-03-31,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,1,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,736.48,736.48,3053.25,736.48,2316.77,2316.77
413,F37804,2022-03-31,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,3,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0,791.1,9159.75,2373.3,2262.15,6786.45
417,F37813,2022-03-31,LETICIA RAMIREZ HERNANDEZ,GRUPO PALANCAS,1,TUE00105,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C",4956.73,0.0,1306.63,4956.73,1306.63,3650.1,3650.1
419,F37817,2022-03-31,ALFREDO CANELA,FABRICACION Y MONTAJE DE EQUIPO INDUSTRIAL,1,GAB00014,GABINETE ELECTRICO DE 50X40X20 70KW 440V,20887.18,0.0,1516.24,20887.18,1516.24,19370.94,19370.94
420,F37817,2022-03-31,ALFREDO CANELA,FABRICACION Y MONTAJE DE EQUIPO INDUSTRIAL,2,TUA00376,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7137.0,2935.26,2935.26,14274.0,5870.53,4201.74,8403.47
450,F37872,2022-04-08,LETICIA RAMIREZ HERNANDEZ,MARATHON SYSTEMS CONTROL,2,TUA00420,"TUB INOX 7/16""ØX155CM 5KW 440V ""U"" 2""NPT",3929.11,0.0,1830.01,7858.22,3660.03,2099.1,4198.19
479,F37933,2022-04-20,LETICIA RAMIREZ HERNANDEZ,JUAN CARLOS HERNANDEZ PEREZ,1,TUE00172,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6""",23995.24,4045.07,4045.07,23995.24,4045.07,19950.17,19950.17
488,F37947,2022-04-21,ALFREDO CANELA,OSANIA CLEANING & SANITIZING,3,TUA00099,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,1319.75,1319.75,10047.0,3959.26,2029.25,6087.74
503,F37977,2022-04-25,ALFREDO CANELA,ALYEX ALUMINUM,18,TUE00319,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,714.2,714.2,74700.0,12855.68,3435.8,61844.32
513,F37997,2022-04-27,AARON NUÑO CORDOVA,BALDWIN FILTERS,1,RM00038,FAB RESISTENCIAS 11520W 480V EN BASE GAL,7402.72,0.0,921.37,7402.72,921.37,6481.35,6481.35
514,F38000,2022-04-27,ALFREDO CANELA,ORDTEC,2,TUA00376,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7133.17,2935.26,2935.26,14266.34,5870.53,4197.91,8395.81
519,F38005,2022-04-27,DIEGO ARMANDO LEON DURAN,MARCEGAGLIA MEXICO,5,TUE00261,"TUB INOX 3/8""ØX395MM CIR/ALETA 8500W230V",6300.0,694.6,694.6,31500.0,3472.99,5605.4,28027.01
521,F38012,2022-04-28,LETICIA RAMIREZ HERNANDEZ,JOSE LUIS PIÑA MEJIA,1,TUE00336,"TUB INOX 7/16""ØX40.5CM 15KW240V PLA/ESP",3837.4,0.0,722.34,3837.4,722.34,3115.06,3115.06
523,F38021,2022-04-28,ALFREDO CANELA,MEXAURIA SOLUTIONS,2,PA00001,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",6900.0,3624.09,3624.09,13800.0,7248.18,3275.91,6551.82
532,F38046,2022-04-29,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,4,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,852.37,852.37,12213.0,3409.48,2200.88,8803.52
534,F38047,2022-04-29,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,10,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0,791.1,30532.5,7911.01,2262.15,22621.49
535,F38048,2022-04-29,LETICIA RAMIREZ HERNANDEZ,BIOEXTRACTO,1,TUE00344,"TUB INOX 1/2""ØX20""Ø 7000W240V ESPIRAL/BU",3395.0,0.0,928.07,3395.0,928.07,2466.93,2466.93
558,F38097,2022-05-06,ALFREDO CANELA,PAS APPLIANCE SYSTEMS,2,EE00021,FABRICACION DE CRISOL 500W 127V 50-60HZ,13800.0,2227.85,2227.85,27600.0,4455.7,11572.15,23144.3
584,F38148,2022-05-12,LETICIA RAMIREZ HERNANDEZ,ESTAMPADOS Y TUBULARES NACIONALES,1,RP00197,REPARACION DE HORNO 7000W 220V,6273.0,1368.31,1368.31,6273.0,1368.31,4904.69,4904.69
588,F38160,2022-05-13,ALFREDO CANELA,COLEP,1,RP00196,REPARACION EQUIPO COCINA 5000W 22OV,13776.88,0.0,5301.49,13776.88,5301.49,8475.39,8475.39
598,F38186,2022-05-18,LETICIA RAMIREZ HERNANDEZ,ACL ACABADOS METALICOS,3,TUA00131,"TUB INOX 1/2""Øx90CMS U 25KW 440V TAPON 2",4580.0,2061.24,2061.24,13740.0,6183.72,2518.76,7556.28
612,F38215,2022-05-23,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,4,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,806.14,806.14,12213.0,3224.57,2247.11,8988.43
645,F38291,2022-06-01,ALFREDO CANELA,DEACERO USA INC.,5,47980075,TUBULAR 11mmØx850mm 6kW 500V 6pz,7612.73,0.0,1952.03,38063.65,9760.13,5660.7,28303.52
655,F38315,2022-06-06,AARON NUÑO CORDOVA,MEGO AFEK,1,TUA00325,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6""",12500.0,3900.52,3900.52,12500.0,3900.52,8599.48,8599.48
667,F38346,2022-06-09,LETICIA RAMIREZ HERNANDEZ,BALTAZAR MACIAS CRUZ,1,TUA00444,"TUB INOX 7/16""ØX36CM 6000W 240V PLAC/CUE",3668.0,602.39,602.39,3668.0,602.39,3065.61,3065.61
672,F38352,2022-06-10,ALFREDO CANELA,FLEX-N-GATE MEXICO,1,RP00203,REPARACION HORNO 15KW 440V TOTAL,32582.18,0.0,199335.56,32582.18,199335.56,-166753.38,-166753.38
682,F38375,2022-06-14,LETICIA RAMIREZ HERNANDEZ,DISTRIBUIDORA LIVERPOOL,1,TUE00363,"TUB INOX 7/16""ØX50CM 18KW220V ""J"" ESP/PL",3026.6,0.0,752.71,3026.6,752.71,2273.89,2273.89
690,F38393,2022-06-16,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,2,ECQ-00974,TUBULAR 11mmØx450mm 4500W 480V 6pz,3730.0,1465.29,1465.29,7460.0,2930.59,2264.71,4529.41
741,F38477,2022-06-28,ALFREDO CANELA,OSANIA CLEANING & SANITIZING,3,TUA00099,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,0.0,1273.61,10047.0,3820.84,2075.39,6226.16
747,F38484,2022-06-29,ALFREDO CANELA,CHAMPIÑONES SAN MIGUEL,5,BOBINA003,BOBINA BASTIDOR 12mmØx410mm 12kW440V 3pz,4500.88,0.0,514.77,22504.4,2573.85,3986.11,19930.55
763,F38507,2022-07-04,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,7,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,773.12,773.12,21372.75,5411.87,2280.13,15960.89
808,F38602,2022-07-15,ALFREDO CANELA,FABRICACION Y MONTAJE DE EQUIPO INDUSTRIAL,2,TUA00376,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7133.17,0.0,2549.57,14266.34,5099.14,4583.6,9167.2
819,F38620,2022-07-19,LETICIA RAMIREZ HERNANDEZ,MIGUEL ARMANDO RAMOS RREGUIN,1,RP00205,REAPARACION PLANCHA SERIGRAFIA 1.8KW120V,3120.0,1195.0,1195.0,3120.0,1195.0,1925.0,1925.0
823,F38633,2022-07-21,LETICIA RAMIREZ HERNANDEZ,GRUPO PALANCAS,1,TUE00105,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C",4956.73,1306.63,1306.63,4956.73,1306.63,3650.1,3650.1
828,F38637,2022-07-21,LETICIA RAMIREZ HERNANDEZ,EDGAR GARCIA HERNANDEZ,1,RP00206,REPARACION CARTUCHO 27MMØX2150MM 2KW440V,3200.0,0.0,649.31,3200.0,649.31,2550.69,2550.69
829,F38637,2022-07-21,LETICIA RAMIREZ HERNANDEZ,EDGAR GARCIA HERNANDEZ,2,RP00207,REPARACION CARTUCHO 27MMØX1800MM 2KW440V,3200.0,0.0,590.21,6400.0,1180.41,2609.79,5219.59
830,F38637,2022-07-21,LETICIA RAMIREZ HERNANDEZ,EDGAR GARCIA HERNANDEZ,1,RP00208,REPARACION CARTUCHO 27MMØX1697MM 2KW440V,3200.0,0.0,595.74,3200.0,595.74,2604.26,2604.26
831,F38637,2022-07-21,LETICIA RAMIREZ HERNANDEZ,EDGAR GARCIA HERNANDEZ,1,TUE00061,"TUB COBRE 7/16""Øx415MM 18KW 500V ""J"" 3PZ",3521.6,585.92,585.92,3521.6,585.92,2935.68,2935.68
833,F38638,2022-07-21,ALFREDO CANELA,CLAVOS NACIONALES C.N,3,TEA00023,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",4250.0,788.54,788.54,12750.0,2365.62,3461.46,10384.38
837,F38642,2022-07-21,ALFREDO CANELA,PAS APPLIANCE SYSTEMS,4,PA00008,P.CUARZO 98MMX340MM 1600W110V EXT11CM TK,3650.0,790.28,790.28,14600.0,3161.13,2859.72,11438.87
838,F38642,2022-07-21,ALFREDO CANELA,PAS APPLIANCE SYSTEMS,4,PA00009,P.CUARZO 98MMX340MM 1600W110V EXT. 11CM,3250.0,753.71,753.71,13000.0,3014.83,2496.29,9985.17
842,F38648,2022-07-22,LETICIA RAMIREZ HERNANDEZ,JUAN CARLOS HERNANDEZ PEREZ,1,TUE00172,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6""",25258.15,5169.85,5169.85,25258.15,5169.85,20088.3,20088.3
850,F38663,2022-07-26,LETICIA RAMIREZ HERNANDEZ,FRANCISCO JAVIER MEDINA SANCHEZ,2,TUA00463,"TUB INOX 1/2""X66CM 4500W 480V 2 1/2"" 3PZ",4188.63,0.0,1931.62,8377.26,3863.23,2257.01,4514.03
851,F38665,2022-07-26,DIEGO ARMANDO LEON DURAN,AIRBUS HELICOPTERS MEXICO QUERETARO,1,RP00165,REPARACION DE BATIDOR 16.6KW 440V,14000.0,0.0,277.5,14000.0,277.5,13722.5,13722.5
854,F38675,2022-07-27,LETICIA RAMIREZ HERNANDEZ,EDGAR GARCIA HERNANDEZ,1,TUE00061,"TUB COBRE 7/16""Øx415MM 18KW 500V ""J"" 3PZ",3521.6,1225.86,1225.86,3521.6,1225.86,2295.74,2295.74
861,F38700,2022-07-29,ALFREDO CANELA,LBQ FOUNDRY,1,RM00043,RESISTENCIA 10CMX10CM 1060W120V B/CERAMI,4125.0,0.0,193.86,4125.0,193.86,3931.14,3931.14
866,F38705,2022-07-29,ALFREDO CANELA,KERN LIEBERS MEXICO,1,EE00063,FABRICACIÓN ESPECIAL 1300W 115V,18869.0,0.0,1721.28,18869.0,1721.28,17147.72,17147.72
891,F38763,2022-08-08,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,4,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,844.23,844.23,12213.0,3376.92,2209.02,8836.08
902,F38791,2022-08-10,LETICIA RAMIREZ HERNANDEZ,REVUELTA MONTECARLO,1,TUA00470,"TUB INOX 1/2""ØX500MM 10KW 220V 2 1/2""NPT",5909.84,0.0,1884.35,5909.84,1884.35,4025.49,4025.49
906,F38796,2022-08-11,LETICIA RAMIREZ HERNANDEZ,ANHEL ALEJANDRA FONSECA MARTINEZ,1,TUA00469,"TUB INOX 7/16""ØX650MM 7600W 220V 2""NPT",5251.28,0.0,2121.33,5251.28,2121.33,3129.95,3129.95
931,F38850,2022-08-18,LETICIA RAMIREZ HERNANDEZ,JUAN CARLOS HERNANDEZ PEREZ,1,TUE00172,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6""",25258.15,2754.67,2754.67,25258.15,2754.67,22503.48,22503.48
960,F38910,2022-08-25,ALFREDO CANELA,RICHALUM,2,BOBINA004,RESIST TIPO BOBINA CAL. 6 DSD 30 KW 440V,18482.78,2613.6,2613.6,36965.56,5227.2,15869.18,31738.36
962,F38913,2022-08-26,AARON NUÑO CORDOVA,VISSCHER CARAVELLE MEXICO,1,BC00029,BC INOX 245MMØX346MM 6KW 480V EXT3MTS,9700.0,0.0,0.0,9700.0,0.0,9700.0,9700.0
973,F38947,2022-08-31,ALFREDO CANELA,NESTLE MEXICO,5,TUE00216,"TUB INOX 3/8""Øx4040mm ESP 4000W 254V",3200.0,0.0,1048.9,16000.0,5244.49,2151.1,10755.51
986,F38969,2022-09-02,LETICIA RAMIREZ HERNANDEZ,INMOBILIARIA MONTAÑA,1,TUA00249,"TUB INOX 1/2""Øx650mm U 12KW 220V TAPON",3450.74,1216.54,1216.54,3450.74,1216.54,2234.2,2234.2
995,F38996,2022-09-06,ALFREDO CANELA,DEACERO,1,93980465,TERMOPAR K DOBLE CAL14x21 FUNDA CERAMICA,3213.0,0.0,1165.13,3213.0,1165.13,2047.87,2047.87
1014,F39018,2022-09-09,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,1,ECQ-00974,TUBULAR 11mmØx450mm 4500W 480V 6pz,3730.0,1388.82,1388.82,3730.0,1388.82,2341.18,2341.18
1035,F39065,2022-09-14,LETICIA RAMIREZ HERNANDEZ,PÚBLICO EN GENERAL,1,TUA00474,"TUB INOX 1/2""ØX500MM 9000W 240V C/PLACA",4972.3,0.0,1139.58,4972.3,1139.58,3832.72,3832.72
1046,F39088,2022-09-20,LETICIA RAMIREZ HERNANDEZ,EDGAR GARCIA HERNANDEZ,1,TUE00378,"TUB INOX 1/2""ØX746MM 30KW 440V ""U"" BRI8""",22417.6,0.0,9353.62,22417.6,9353.62,13063.98,13063.98
1063,F39121,2022-09-22,ALFREDO CANELA,PRODUCTOS Y SERVICIOS TRES HERMANOS,1,RP00001,REPARACION TUBO PYREX 7.2 OHMS,3298.28,33387.05,33387.05,3298.28,33387.05,-30088.77,-30088.77
1076,F39139,2022-09-23,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,18,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,7780.0,816.73,1743.86,70020.0,16025.97,6036.14,53994.03
1077,F39139,2022-09-23,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,18,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,7780.0,930.34,2064.16,70020.0,19187.82,5715.84,50832.18
1090,F39154,2022-09-26,LETICIA RAMIREZ HERNANDEZ,GRUPO COSIELSA,10,PRECA003,"PRECALENTADOR 2""Øx61/2""  500W127V",3220.0,667.91,667.91,32200.0,6679.11,2552.09,25520.89
1091,F39156,2022-09-27,LETICIA RAMIREZ HERNANDEZ,ALKLAD,4,TUA00189,"TUA ""U"" 7/16""X1000mm 5KW 440V C/TAP LAT",5790.0,0.0,1798.56,23160.0,7194.25,3991.44,15965.75
1101,F39191,2022-09-30,LETICIA RAMIREZ HERNANDEZ,CAROLINA PEREZ GOMEZ,2,TUE00382,"TUB INOX 1/2""ØX80CM 80KW 440V ""U"" PLAC",17393.06,0.0,6073.5,34786.12,12146.99,11319.56,22639.13
1104,F39201,2022-09-30,ALFREDO CANELA,KERN LIEBERS MEXICO,4,EE00063,FABRICACIÓN ESPECIAL 1300W 115V,18869.0,0.0,1721.28,75476.0,6885.12,17147.72,68590.88
1107,F39208,2022-09-30,LETICIA RAMIREZ HERNANDEZ,DISTRIBUIDORA Y CONVERTIDORA INDUSTRIAL,8,TUA00200,"TUB INOX. 5/16""Øx510mm CLIP 9KW 230V TAP",3545.43,800.35,800.35,28363.44,6402.83,2745.08,21960.61
1120,F39239,2022-10-04,ALFREDO CANELA,GERRESHEIMER QUERETARO,1,TUE00381,"TUB INOX 1/4""ØX1450MM ""U"" ESP 7500W440V",4500.0,0.0,1088.23,4500.0,1088.23,3411.77,3411.77
1144,F39291,2022-10-12,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,3,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,640.51,640.51,9159.75,1921.52,2412.74,7238.23
1172,F39340,2022-10-19,LETICIA RAMIREZ HERNANDEZ,FABRICANTES LAZZI DE MEXICO,2,TUA00057,"TUA INCOLOY 1/2""ØX59CM 15KW220V T2 1/2""",5765.49,2496.65,2496.65,11530.98,4993.3,3268.84,6537.68
1173,F39342,2022-10-19,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,11,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,3890.0,982.4,982.4,42790.0,10806.45,2907.6,31983.55
1186,F39363,2022-10-21,LETICIA RAMIREZ HERNANDEZ,FRANCISCO JAVIER MEDINA SANCHEZ,2,TUA00463,"TUB INOX 1/2""X66CM 4500W 480V 2 1/2"" 3PZ",4769.0,1931.62,1931.62,9538.0,3863.23,2837.38,5674.77
1199,F39384,2022-10-24,LETICIA RAMIREZ HERNANDEZ,CRUKEL WATER & CHEMICALS,1,TUA00479,"TUB INOX 1/2""ØX85CM 22KW 440V CLIP/PLAC",8121.2,0.0,3280.08,8121.2,3280.08,4841.12,4841.12
1215,F39412,2022-10-26,LETICIA RAMIREZ HERNANDEZ,INTEMPO SISTEMAS CONSTRUCTIVOS,1,BL00061,BAN M/LUNA 280MMØX260MM 3000W 440V CLAV,5901.45,1047.18,1047.18,5901.45,1047.18,4854.27,4854.27
1222,F39426,2022-10-27,LETICIA RAMIREZ HERNANDEZ,FRANCISCO JAVIER MEDINA SANCHEZ,1,TUA00463,"TUB INOX 1/2""X66CM 4500W 480V 2 1/2"" 3PZ",4769.0,1931.62,1931.62,4769.0,1931.62,2837.38,2837.38
1226,F39436,2022-10-28,ALFREDO CANELA,KERN LIEBERS MEXICO,4,EE00063,FABRICACIÓN ESPECIAL 1300W 115V,18869.0,1721.28,1721.28,75476.0,6885.12,17147.72,68590.88
1238,F39456,2022-10-31,ALFREDO CANELA,SERGIO MARTINEZ PICHARDO,1,EE00075,"FAB. TUBO INOX 1/2""Ø C40 X 1.7M C/ALETAS",9499.6,0.0,544.48,9499.6,544.48,8955.12,8955.12
1253,F39503,2022-11-04,ALFREDO CANELA,CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO EN ELECTROQUIMICA,1,RP00192,REPARACION DE HORNO LINDBERG/BLUE M,17450.0,0.2,0.2,17450.0,0.2,17449.8,17449.8
1260,F39524,2022-11-08,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,3,EE00077,FAB. DE BASTIDOR 8020 2700W 240V 28X24X5,4810.0,0.0,442.5,14430.0,1327.51,4367.5,13102.49
1277,F39560,2022-11-11,ALFREDO CANELA,MEGO AFEK,2,TUA00325,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6""",12500.0,0.0,4604.19,25000.0,9208.38,7895.81,15791.62
1288,F39576,2022-11-15,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,1,EE00022,PLACAS DE FIBRA CERAMICA BARRENADAS,27808.0,0.0,654.34,27808.0,654.34,27153.66,27153.66
1296,F39592,2022-11-16,DIEGO ARMANDO LEON DURAN,AIRBUS HELICOPTERS MEXICO QUERETARO,1,RP00165,REPARACION DE BATIDOR 16.6KW 440V,14000.0,0.0,277.5,14000.0,277.5,13722.5,13722.5
1297,F39595,2022-11-17,LETICIA RAMIREZ HERNANDEZ,FIDEICOMISO F/1596,1,TUE00389,"TUB INOX 1/4""ØX28CM 15KW 240V CLIP BUS/P",6591.1,1541.46,1541.46,6591.1,1541.46,5049.64,5049.64
1318,F39618,2022-11-23,ALFREDO CANELA,DEACERO,4,TUE00391,"TUB INOX 5/16""ØX2 1/2""Ø 350W 260V EXT 1M",3788.69,0.0,120.76,15154.76,483.02,3667.93,14671.74
1320,F39622,2022-11-24,LETICIA RAMIREZ HERNANDEZ,HELVEX,5,TEE00012,"TE ""K"" TIPO LANZA 1/2""Ø X 1331MMC/PLICA",9981.1,485.13,1044.55,24952.75,2499.93,8936.55,22452.82
1323,F39627,2022-11-24,LETICIA RAMIREZ HERNANDEZ,ARMANDO TELLEZ RUIZ,1,TUA00487,"TUB INOX 5/16""ØX295MM 12KW 240V CLIP/PLA",5309.11,1292.27,1292.27,5309.11,1292.27,4016.84,4016.84
1328,F39634,2022-11-25,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,6,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,3890.0,936.33,936.33,23340.0,5618.0,2953.67,17722.0
1329,F39634,2022-11-25,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,6,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,3890.0,0.0,1133.81,23340.0,6802.89,2756.19,16537.11
1341,F39661,2022-11-30,LETICIA RAMIREZ HERNANDEZ,ERICKA TERESA HERNANDEZ ORTIZ,2,TUA00490,"TUB INOX 7/16""ØX50CM 4500W440V ""U"" 2""NPT",3643.7,0.0,0.0,7287.4,0.0,3643.7,7287.4
